ESTILO;UNIDADES;DEPARTAMENTO
114099;17;667
114112;10;726
114115;3;726
114117;233;662
114118;30;662
114204;70;660
114208;1;625
114209;1;625
114211;1;625
114212;1;625
114217;1;625
114218;1;625
114220;2;625
114222;2;625
114223;1;625
114224;2;625
114225;1;625
114226;2;625
114228;1;625
114232;2;625
114235;18;648
114236;18;648
114238;2;648
114243;58;648
114255;12;661
114314;9;661
114366;1;603
114367;13;603
114368;10;603
114370;18;603
114395;17;661
114396;23;661
114397;9;660
114398;18;660
114399;12;660
114400;12;660
114417;7;725
114418;50;725
114422;41;661
114423;23;661
114424;21;661
114432;5;662
114456;2;734
114458;2;734
114461;2;734
114462;2;734
114464;4;734
114474;4;734
114476;2;734
114478;2;734
114525;20;662
114530;36;662
114533;28;662
114538;11;602
114540;3;602
114559;2;734
114560;2;734
114630;5;667
114631;64;667
114632;3;667
114652;1;682
114660;1;682
114663;1;682
114664;6;682
114674;1;682
114677;23;682
114680;1;682
114682;12;660
114685;7;680
114692;6;680
114697;28;660
114700;44;680
114708;12;680
114714;9;680
114715;7;680
114716;3;680
114725;31;680
114734;1;682
114739;3;682
114744;1;682
114747;12;660
114875;20;648
114880;20;648
114890;8;647
114901;13;647
114943;53;649
114945;31;649
114946;12;721
114947;12;721
114948;1;721
114951;12;723
114952;11;723
114953;4;723
114954;1;723
115003;8;667
115007;20;667
115015;1;667
115039;1;667
115042;11;667
115049;2;667
115059;1;667
115069;1;682
115083;1;682
115086;2;623
115089;8;623
115090;7;623
115102;5;623
115103;8;623
115104;7;623
115106;5;623
115107;12;623
115109;5;623
115110;10;623
115111;11;623
115112;1;623
115113;1;623
115114;12;623
115115;1;623
115116;8;623
115117;3;623
115119;11;623
115120;9;623
115122;16;623
115123;8;623
115124;8;623
115125;8;623
115126;10;623
115127;11;623
115129;11;623
115130;6;623
115131;1;623
115132;5;623
115133;5;623
115134;4;623
115135;4;623
115136;12;623
115137;9;623
115138;17;623
115139;14;623
115149;22;603
115151;14;603
115155;42;603
115157;2;603
115159;5;603
115163;223;603
115164;183;603
115165;8;603
115168;5;742
115170;9;603
115173;13;603
115175;11;603
115176;11;603
115181;11;603
115183;15;603
115189;10;603
115191;19;603
115193;15;603
115197;28;603
115198;6;603
115200;14;603
115205;6;603
115207;11;603
115209;3;603
115211;1;603
115212;5;603
115213;2;603
115214;22;603
115217;21;603
115218;11;603
115219;11;603
115220;7;603
115221;11;603
115223;43;603
115224;3;603
115226;21;603
115228;9;603
115230;1;603
115232;19;603
115233;10;603
115236;7;603
115237;8;603
115238;13;603
115240;11;603
115242;8;603
115243;10;603
115244;12;603
115245;15;603
115246;5;603
115247;3;603
115248;8;603
115249;19;603
115250;82;603
115251;61;603
115252;10;603
